STEVAL-MKI243A (ASM330LHHXG1)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-44.713 	 -191.052 	 1003.33 	-2 	 -10 	 79 	0.69125 	 -1.19875 	 -0.62125 	29.2 	
-41.358 	 -191.967 	 1002.23 	-2 	 -10 	 79 	0.84875 	 -1.0675 	 -0.5775 	29.2 	
-44.713 	 -191.845 	 1003.51 	-2 	 -10 	 79 	0.6125 	 -1.1725 	 -0.63875 	29.2 	
-44.103 	 -193.126 	 1003.75 	-2 	 -10 	 79 	0.525 	 -1.21625 	 -0.6125 	29.2 	
-43.676 	 -193.797 	 1001.99 	-2 	 -10 	 79 	0.70875 	 -1.1725 	 -0.6125 	29.2 	
-44.835 	 -193.492 	 1000.64 	-2 	 -10 	 79 	0.84875 	 -1.04125 	 -0.63 	29.2 	
-42.395 	 -191.906 	 1001.38 	-2 	 -10 	 79 	0.805 	 -1.155 	 -0.56 	29.2 	
-40.748 	 -195.505 	 1003.63 	-2 	 -11 	 79 	0.76125 	 -1.09375 	 -0.63 	29.2 	
-42.517 	 -194.712 	 1003.21 	-2 	 -10 	 79 	0.79625 	 -1.0675 	 -0.44625 	29.2 	
-42.273 	 -194.224 	 1002.72 	-2 	 -10 	 79 	0.665 	 -1.02375 	 -0.595 	29.2 	
-42.395 	 -194.529 	 1003.51 	-2 	 -10 	 79 	0.74375 	 -1.28625 	 -0.5425 	29.2 	
-43.188 	 -194.529 	 1002.72 	-2 	 -10 	 79 	0.77 	 -1.11125 	 -0.55125 	29.2 	
-44.53 	 -193.553 	 1002.11 	-2 	 -10 	 79 	0.53375 	 -0.9975 	 -0.6475 	29.2 	
-44.591 	 -193.004 	 1001.44 	-2 	 -10 	 79 	0.7 	 -1.05 	 -0.5775 	29.2 	
-43.737 	 -193.736 	 999.79 	-2 	 -10 	 79 	0.595 	 -1.00625 	 -0.6475 	29.2 	
-44.469 	 -193.309 	 1002.72 	-2 	 -10 	 79 	0.7 	 -1.12 	 -0.44625 	29.2 	
-43.615 	 -192.577 	 1002.78 	-2 	 -10 	 79 	0.62125 	 -1.16375 	 -0.4725 	29.2 	
-42.517 	 -192.394 	 1002.66 	-2 	 -10 	 79 	0.77 	 -1.05 	 -0.455 	29.2 	
-44.042 	 -192.821 	 1002.11 	-2 	 -10 	 79 	0.69125 	 -1.26875 	 -0.6125 	29.2 	
-44.286 	 -193.736 	 1000.7 	-2 	 -10 	 79 	0.60375 	 -1.225 	 -0.5775 	29.2 	
-45.567 	 -193.492 	 999.912 	-2 	 -10 	 79 	0.7175 	 -1.1725 	 -0.55125 	29.2 	
-44.53 	 -191.54 	 1000.52 	-2 	 -10 	 79 	0.84 	 -1.16375 	 -0.44625 	29.2 	
-45.506 	 -192.638 	 1001.31 	-2 	 -10 	 79 	0.77875 	 -1.16375 	 -0.41125 	29.2 	
-46.97 	 -191.601 	 1001.56 	-2 	 -10 	 79 	0.525 	 -1.2075 	 -0.39375 	29.2 	
-45.201 	 -191.174 	 1002.96 	-2 	 -10 	 79 	0.7875 	 -1.2075 	 -0.49 	29.3 	
-46.36 	 -191.601 	 1002.72 	-2 	 -10 	 79 	0.70875 	 -1.21625 	 -0.5425 	29.3 	
-47.641 	 -192.516 	 1003.45 	-2 	 -10 	 79 	0.65625 	 -1.1375 	 -0.55125 	29.3 	
-47.458 	 -191.601 	 1002.84 	-2 	 -10 	 79 	0.805 	 -1.33875 	 -0.48125 	29.3 	
-45.872 	 -191.784 	 1000.22 	-2 	 -10 	 79 	0.88375 	 -1.19 	 -0.39375 	29.3 	
-46.055 	 -190.93 	 1000.58 	-2 	 -10 	 79 	0.62125 	 -1.02375 	 -0.53375 	29.3 	
